Anmeldedatum;Abgabedatum;JahrAkademisch;Art;Grad;Sprache;Titel;Abstract
28.02.14;28.07.14;2014;extern;Bachelor;DE;Kennzahlengestütztes Projekt-Controlling für Supply Chains in der Bauindustrie;
01.03.14;31.07.14;2014;extern;Bachelor;EN;Behavior-Based Web User Identification: An Experimental Approach for Pointing Devices;
01.03.14;01.08.14;2014;extern;Bachelor;DE;Erweiterung der Eingabewerkzeuge des radiologischen Arbeitsplatzes um ein Multi-Touch-Tablet;
01.03.14;31.07.14;2014;extern;Bachelor;DE;Evaluation der Einsatzmöglichkeiten einer an ein Prüfgerät angebundenen Datenbrille und prototypische Implementierung einer Applikation für ein Einsatzszenario ;
05.03.14;01.08.14;2014;extern;Bachelor;DE;Vom statischen Intranet zu einer interaktiven Social Media Plattform bei der DATEV eG;
06.03.14;10.07.14;2014;extern;Bachelor;DE;Konzeptionierung und prototypische Entwicklung eines Self Service BI Werkzeuges für die Inhalte eines DATEV Cockpits;
10.03.14;10.08.14;2014;extern;Bachelor;DE;Vorstudie zu einem Migrationsprojekt bezüglich Frontend-Tools im SAP Umfeld bei der Bundesagentur für Arbeit;
13.03.14;13.08.14;2014;extern;Bachelor;DE;Konzeption und Prototyp zur Aufbereitung von Prozesskennzahlen für das Service Level Management im Rahmen des IT Controlling bei DATEV;
14.03.14;14.08.14;2014;extern;Bachelor;DE;Analyse, Modellierung und Implementierung eines Workflows für die Aufwandsschätzung von IT-Systementwicklungsfragen;
15.03.14;15.08.14;2014;extern;Bachelor;DE;Implementierung von Algorithmen der kooperativen Spieltheorie;
15.03.14;13.08.14;2014;extern;Bachelor;DE;Konzeption und Implementierung einer mobilen Anwendung zur Verdeutlichung von baulichen und sozialen Teilhabe-Barrieren, denen Rollstuhlfahrer gegenüber stehen;
15.03.14;15.08.14;2014;extern;Bachelor;DE;Quantitativer Vergleich von Echtzeitbetriebssystemen;
15.03.14;03.07.14;2014;extern;Bachelor;DE;Kritische Analyse und Erweiterung der DB-basierten Korrespondenzverwaltung bei der N-Ergie - Methodenreflexion, -anwendung und -evaluation in den einzelnen Projektphasen;
17.03.14;17.08.15;2014;extern;Bachelor;DE;Aufbau einer Umgebung für funktionale Tests und Lasttests für einen REST-basierten Web Client;
17.03.14;20.06.14;2014;extern;Bachelor;DE;Entwurf eines Konzepts zum Aufbau einer IT-Community zum Thema - Application Lifecycle Management;
17.03.14;28.07.14;2014;extern;Bachelor;DE;Mitarbeiter-Demographie in Abhängigkeit vom Software-Lifecycle an einem Beispiel bei der Siemens AG;
17.03.14;17.08.14;2014;extern;Bachelor;DE;Evaluierung der Werkzeuge zur Unterstützung in agilen Projekten mit Schwerpunkt Anforderungsmanagement;
18.03.14;27.06.14;2014;extern;Bachelor;DE;Konzeption und Realisierung einer auf Cross-Synthese basierenden iPhone-Applikation zum Sound-Design<br><br><br><br>;
19.03.14;18.07.14;2014;extern;Bachelor;DE;Frühneuzeitliche und heutige Buchhaltung im Vergleich - Die Geschäftsvorfälle bei Heinrich Schreiber (Nürnberg 1521) und ihre Aufbereitung für ein Datenbank-basiertes IT-System<br><br>;
21.03.14;20.08.14;2014;extern;Bachelor;DE;Entwicklung einer Meta-Suchmaschine für 3D-Modelle mit automatisierter Weiterverarbeitung der Suchresultate für den 3D-Druck<br><br> <br>;
25.03.14;03.07.14;2014;extern;Bachelor;EN;State-of-the-Art: Mobile CRM;
26.03.14;26.08.14;2014;extern;Bachelor;DE;Erweiterung der infoteam Software Plattform um eine wiederverwendbare Schnittstelle, mit der Daten auf mobilen Endgeräten angezeigt werden können;
31.03.14;27.08.14;2014;extern;Bachelor;DE;Technische Evaluierung mehrerer java-basierter WCMS zur Konzeption und Entwicklung einer Unternehmenswebseite;
01.04.14;15.08.14;2014;extern;Bachelor;DE;Evaluierung und Konzeptionierung der Einführung eines homogenen Incident-Management-Systems in ein bestehendes globales IT-Service Angebot;
01.04.14;01.09.14;2014;extern;Bachelor;DE;Entwurf, Implementierung und Test einer Kalibrierstufe für Trägerphasenmesswerte in einem Lokalisierungssystem;
01.04.14;01.09.14;2014;extern;Bachelor;DE;Supplier Relationship Management (SRM): Evaluation der Einsatzpotentiale des Lieferantenmanagements für die Baubranche;
02.04.14;24.07.14;2014;extern;Bachelor;DE;Erweiterung von interaktiven Webanwendungen um Funktionalitäten zur Unterstützung von mobilen Endgeräten und beispielhafte Durchführung anhand eines Urlaubsplanungstools;
03.04.14;03.09.14;2014;extern;Bachelor;DE;Konzeption und prototypische Realisierung einer mobilen Website der Fakultät Informatik;
08.04.14;08.09.14;2014;extern;Bachelor;DE;Konzeption und Implementierung einer Sprache zur Beschreibung von Oberflächen und Abläufen eines generischen Anwendungsdienstes;
08.04.14;23.07.14;2014;extern;Bachelor;DE;Multidimensionale Daten und ihre Besonderheiten am Beispiel von Microsoft SQL Server und Analysis Services - Struktur, Entwicklung und Analyse;
09.04.14;;2014;extern;Bachelor;DE;Realisierung eines FlexRay Clusters;
09.04.14;;2014;extern;Bachelor;DE;Entwicklung einer OCR-Applikation zur Erfassung von Belegen auf mobilen Endgeräten für das Unternehmen DATEV eG;
09.04.14;09.09.14;2014;extern;Bachelor;DE;Smartphone Anwendung zur auditiven Unterstützung blinder Menschen bei der Erkundung von taktilen Karten;
10.04.14;10.07.14;2014;extern;Bachelor;DE;Konzeption und Implementierung eines Assistenten zur Erstellng von Templates für die E-Learning Plattform Moodle;
14.04.14;31.07.14;2014;extern;Bachelor;DE;Juristische und technische Beurteilung von Datenschutz und Datensicherheit in produzierenden Unternehmen - Ein Beratungsleitfaden für DATEV-Consulting<br><br>;
15.04.14;15.09.14;2014;extern;Bachelor;DE;Analyse und Darstellung von Verbesserungspotentialen in einer systemübergreifenden Werksberichterstattung bei Siemens Industry Automation;
16.04.14;01.12.14;2014;extern;Master;DE;Softwareentwicklungsprozess der DATEV DMS Posteingangsassistenen: Analyse und Optimierung der Qualitätssicherungsmaßnahmen;
24.04.14;01.09.14;2014;extern;Bachelor;DE;"Implementierung einer Ethernet-basierten Kommunikationsschnittstelle für das ""embedded system"" eines Medizingerätes";
25.04.14;25.09.14;2014;extern;Bachelor;DE;Konzeptionierung und Realisierung einer Wissensbasis für Sharepoint 2013 Entwickler bei Siemens Energy;
01.05.14;07.01.15;2014;extern;Master;EN;Vision-based Object Tracking Using an Unmanned Aerial Vehicle;
01.05.14;30.09.14;2014;extern;Bachelor;DE;Evaluation von HTML5/CSS3 zur plattformübergreifenden Gestaltung und Entwicklung im Web;
02.05.14;15.08.14;2014;extern;Bachelor;DE;Konzept der Überleitung vom Produktmanagementsystem PLM@IEC auf das Projektmanagementsystem PM(i)@IEC;
02.05.14;30.09.14;2014;extern;Bachelor;DE;Konzeption und prototypische Implementierung eines webbasierten Kundengeschenke-Portals für kleine und mittelständische Unternehmen;
05.05.14;05.01.15;2014;extern;Master;DE;Konzeption und Realisierung einer multimodalen Routenplanung;
05.05.14;06.10.14;2014;extern;Bachelor;DE;Entwurf und Implementierung eines Algorithmus zur individuellen Optimierung des Lernerfolges in einer eLearning-Plattform;
06.05.14;;2014;extern;Bachelor;DE;Linguistische Analyse von DATEV Servicewesen zur Herausarbeitung von Wissenskonzepten unter Verwendung der Beschreibungssprache Salsa;
06.05.14;06.10.14;2014;extern;Bachelor;DE;Traceability in der Model Driven Architecture;
09.05.14;28.11.14;2014;extern;Master;DE;"Konzept zur Einführung des Vertriebssystems ""Global Logistics Ordering Information System Automotive and Accounting"" im Musterbau bei der Robert Bosch GmbH in Nürnberg";
13.05.14;10.10.14;2014;extern;Bachelor;DE;Konzeption und Prototypisierung eines Reportingsystems für Refurbished Systems;
14.05.14;23.12.14;2014;extern;Bachelor;DE;Neuerungen in der Welt des Datenaustauschs: SEPA, ELSTER, eBilanz;
14.05.14;29.10.14;2014;extern;Bachelor;DE;Konzeption eines Lagerhaltungssystems für Kleinunternehmen und Entwicklung der grafischen Benutzeroberfläche;
15.05.14;13.10.14;2014;extern;Bachelor;DE;Anforderungsanalyse und Evaluierung geeigneter Technologien für die visuelle Darstellung von Objektstrukturen;
22.05.14;21.10.14;2014;extern;Bachelor;DE;Unit-Testing in modernen Front-End-Anwendungen am Beispel des DATEV Controllingreport mobil;
22.05.14;30.09.14;2014;extern;Bachelor;DE;Analyse der Nutzung von Thesauren in Suchmaschinen und exemplarische Einbindung in die Fakultätssuchmaschine;
28.05.14;27.01.15;2014;extern;Master;DE;Benutzeroptimiertes Suchen in heterogenen Datenbeständen;
02.06.14;31.10.14;2014;extern;Bachelor;DE;Interaktive Verbesserung von Tiefenkarten zur Qualitätsverbesserung im Rendering;
02.06.14;02.11.14;2014;extern;Bachelor;DE;Analyse, Konzept und Implementierung einer Prototypen zur Pfaderkennung von C# Programmtext;
03.06.14;15.01.15;2014;extern;Master;EN;Conception and development of a KPI reporting in context of T-innovation management at Siemens Energy;
09.06.14;03.11.14;2014;extern;Bachelor;DE;Analyse bestehender Sicherheitsalgorithmen auf Basis des UDS Protokolls und Implementierung performanter Sicherheitsalgorithmen für Mikrocontroller von Bremssteuergeräten;
10.06.14;03.11.14;2014;extern;Bachelor;DE;Evaluation des Potentials von Cloud Computing für die industrielle Computertomographie;
11.06.14;11.11.14;2014;extern;Bachelor;DE;Konzeption und Entwicklung einer mobilen Applikation als Erweiterung eines ERP-Systems;
12.06.14;10.12.14;2014;extern;Bachelor;DE;Erweiterung der E-learning-Plattform Moodle um Aufgaben mit 3D-Modellen aus dem Bereich Maschinenbau;
17.06.14;31.07.14;2014;extern;Bachelor;DE;Anforderungsanalyse und prototypische Implementierung einer Rollout- und Schulungsdatenbank;
18.06.14;14.11.14;2014;extern;Bachelor;DE;Einsatz von Weblogs zur Unterstützung der Kommunikation zwischen Betreuer und Studierendem während einer Abschlussarbeit;
23.06.14;23.11.14;2014;extern;Bachelor;DE;Portierung einer webbasierten Geschäftsanwendung auf mobile Endgeräte - Konzeption und prototypische Implementierung;
27.06.14;27.10.14;2014;extern;Master;DE;Business Process Monitoring für Kernprozesse bei der Schaeffler-Gruppe - Konzeption, prototypische Umsetzung und Bewertung;
27.06.14;16.01.15;2014;extern;Master;DE;Erstellung eines Schulungskonzeptes zur Einführung eines ERP-Systems für KMU am Beispiel der Firma Pollin Electronic GmbH;
01.07.14;02.03.15;2014;extern;Master;DE;Einsatzmöglichkeiten der automatisierten Analyse von Artefakten und Metadaten aus Softgwareprojekten zur Unterstützung der Wartbarkeits- <br>optimierung langlebiger Softwaresysteme der DATEV eG;
02.07.14;02.12.14;2014;extern;Bachelor;DE;Extraktion und Persistierung von Metadaten aus DATEV Servicewissen zur Verbesserung der semantischen Suche mit Hilfe der Programmiersprache LUA;
16.07.14;31.10.14;2014;extern;Bachelor;DE;Erstellung einer Benutzeroberfläche zur beispielhaften Ansteuerung einer Automatisierungssoftware am Beispiel von TIA Portal Openness;
21.07.14;20.12.14;2014;extern;Bachelor;DE;Analyse, Auswahl und Optimierung eines visuellen Datenbanken Query-Builders für Führungskräfte mit dessen beispielhafter Implementierung;
21.07.14;;2014;extern;Bachelor;DE;Prototypische Umsetzung der Stammdatenversorgung einer weltweiten E-Commerce Lösung mit der Technologieplattform SAP HANA;
22.07.14;22.12.14;2014;extern;Bachelor;DE;Konzeption, Umsetzung und Controlling der Migration einer Webpräsenz<br>unter besonderer Berücksichtigung von SEO;
24.07.14;22.12.14;2014;extern;Bachelor;DE;Automatisierung und Optimierung der Journal Entry Tests der Jahresabschlussprüfung bei der Rödl & Partner GmbH;
01.08.14;31.12.14;2014;extern;Bachelor;DE;Überführung einer objektorientierten zu einer relationalen Datenbank - Evaluation, Konzeption und Umsetzung anhand des Softwareprodukts distribution.list;
01.08.14;30.03.15;2014;extern;Master;DE;Handgestenerkennung zur Interaktion mit Webanwendungen unter Einsatz moderner Webtechnologien;
01.08.14;07.01.15;2014;extern;Bachelor;DE;Mobile Zeiterfassung für das Projektmanagement mit Liferay ;
05.08.14;10.11.14;2014;extern;Bachelor;DE;Automatisierung der Bereitstellung fachlicher Web Services aus einem Kernbankensystem;
18.08.14;16.01.15;2014;extern;Bachelor;DE;Analyse und Bewertung von Strategien zur Implementierung einer Cloud-Plattform für Customizing-Lösungen im Bereich Personalwirtschaftssysteme;
01.09.14;28.01.15;2014;extern;Bachelor;DE;Entwicklung einer flexibel einsetzbaren Ansteuereinheit für LED-Leuchtmittel ;
01.09.14;30.01.15;2014;extern;Bachelor;DE;Konzeption und Entwicklung einer Web-Oberfläche zur Erfassung und Visualisierung  fachlicher Kompetenzen,  anhand einer parallel geführten Nutzerbefragung<br><br>;
01.09.14;;2014;extern;Bachelor;DE;Analyse der neuen Programmiersprache Swift mit Identifikation neuer<br>Programmierkonzepte gegenüber bekannten Sprachen und Zukunftsprognose in<br>Hinsicht auf Nützlichkeit, Sicherheit und Performance im Kontext der Platformen<br>iOS und OS X.<br>;
01.09.14;30.01.15;2014;extern;Bachelor;DE;Konzeption und Entwicklung einer Anwendung zur Verwaltung von team- und mitarbeiterübergreifenden Fachkompetenzen zur Ermittlung des Weiterbildungsbedarfs für die Firma;
01.09.14;31.01.15;2014;extern;Bachelor;EN;Virtual Reality Software - A Comparison ;
08.09.14;08.05.15;2014;extern;Master;DE;Integration neuer Software innerhalb existierender IT-Strukturen am Beispiel eines Skillmanagementtools;
12.09.14;;2014;extern;Bachelor;DE;Partikelschwarm-Algorithmen - Konzeption und Realsierung einer Anwendung zur Optimierung;
15.09.14;15.05.15;2014;extern;Master;DE;Einsatzmöglichkeiten und Chancen von Business Activity und Complex Event Processing in Unternehmen der Logistikbranche;
15.09.14;30.01.15;2014;extern;Bachelor;EN;Conception and prototypical implementation of a performance scorecard for PLM Solution Engineering at Siemens AG;
01.10.14;20.02.15;2015;extern;Bachelor;DE;Entwickeln einer Web-basierten App für Embedded Geräte;
01.10.14;02.03.15;2015;extern;Bachelor;DE;Berechnung der Tabulatur aus dem Audiosignal einer Gitarrenaufnahme;
01.10.14;30.01.15;2015;extern;Bachelor;DE;Auswahl und Einführung eines Produktdatenmanagement-Systems in einem mittelständischen Unternehmen;
01.10.14;13.02.15;2015;extern;Bachelor;DE;Konzeption und Entwicklung von agilen Deployment-Prozessen für DB-Code bei der ING-DiBa AG;
01.10.14;01.03.15;2015;extern;Bachelor;DE;Konzeption und Entwicklung einer Microsoft.NET Framework-Anwendung<br>zum Management eines verteilt gespeicherten Kundendatenpools.;
01.10.14;27.02.15;2015;extern;Bachelor;DE;Entwicklung eines Datenrouting-Services für das Energiemanagementframework OGEMA 2.0;
01.10.14;27.02.15;2015;extern;Bachelor;DE;Implementierung und Evaluierung einer WebRTC-basierten Videokonferenz;
01.10.14;26.02.15;2015;extern;Bachelor;DE;Ermittlung, Vergleich und Bewertung von Frameworks für Web Apps als Alternative zu nativen Apps anhand einer Beispielanwendung der Versicherungsbranche;
01.10.14;29.01.15;2015;extern;Bachelor;DE;Anbindung einer Laborautomatisierungssoftware an die iLAB-Plattform via des Kommunikationsstandards SiLA;
01.10.14;20.02.15;2015;extern;Bachelor;DE;Implementierung einer prototypischen Anwendung auf Basis des iMED Web Service Hosts in der iMED Softwareplattform;
01.10.14;02.03.15;2015;extern;Bachelor;DE;Konzeption und Realisierung eines Tools für kollaborative Vorlesungsmitschriften unter Ausnutzung gerätespezifischer Eingabeverfahren;
01.10.14;02.03.15;2015;extern;Bachelor;DE;Konzeption und Implementierung einer Low-Level Sprachsteuerung auf mobilen Android-Geräten;
02.10.14;;2015;extern;Bachelor;DE;Entwicklung einer App zur Korrektur individueller Rot-Grün-Farbsehschwächen;
02.10.14;27.02.15;2015;extern;Bachelor;DE;Visualisierung proprietärer Prozessdaten mit Prognose des Prozessverlaufs und prototypischer Umsetzung;
06.10.14;29.01.15;2015;extern;Bachelor;EN;Tool Support for Organizing an Open Source Conference - Examination <br>of the Practicability of Predictive Analytics;
06.10.14;05.03.15;2015;extern;Bachelor;DE;Analyse und Implementierung des DANE-Protokolls für EXIM;
06.10.14;06.03.15;2015;extern;Bachelor;DE;Konzeption und Entwicklung einer Standort-basierten Werbeplattform für mobile Endgeräte auf Basis eines Systems zur lokalisierten Anzeige von Produkten;
09.10.14;06.03.15;2015;extern;Bachelor;DE;Konzeption und Realisierung einer Ausführungsplanerstellung für eine räumlich/symbolische Suchumgebung;
10.10.14;09.03.15;2015;extern;Bachelor;DE;Musikerkennungssoftware: Stand der Technik und vergleichende Evaluierung;
10.10.14;02.02.15;2015;extern;Bachelor;EN;Scene extraction by means of a Pan-Tilt-Zoom-camera;
13.10.14;;2015;extern;Bachelor;DE;Entwicklung einer Benutzerschnittstelle eines Eclipse-basierten Plugins zur Optimierung von automobilen Steuergerätearchitekturen;
15.10.14;16.03.15;2015;extern;Bachelor;DE;Konzeption und Implementierung einer Komponente zum Import relationaler Datenbankstrukturen in smartfacts;
15.10.14;12.03.15;2015;extern;Bachelor;DE;Konzeption und Entwicklung eines Global Data Dictionaries zur Nachvollziehbarkeit von Datenstrukturänderungen im Mainframeumfeld der Datev eG;
15.10.14;13.03.15;2015;extern;Bachelor;DE;Konzeption, Implementierung und Evaluation einer HTML5-basierten Loopstation zur Nutzung mit Saiteninstrumenten;
16.10.14;18.02.15;2015;extern;Bachelor;DE;"Edition der Aufgabenstellungen aus Anton Neudörffers ""Grosser Arithmetic"" (~1610). Materialerschließung als Beitrag zum diachron-<br>intermedialen Wissensmanagement";
16.10.14;30.01.15;2015;extern;Bachelor;DE;Softwaregestützte Entscheidungshilfe für Planungsänderungen durch Auswertung von hierarchisch priorisierten Arbeitsaufgaben bei der Datev eG;
16.10.14;04.12.14;2015;extern;Bachelor;DE;Architektur dynamischer Single-Page-Applications;
16.10.14;09.02.15;2015;extern;Bachelor;DE;Konzeption und Implementierung eines Android-Clients zur Darstellung von personalisierbaren Echtzeitinformationen für Studierende der TH Nürnberg Georg Simon Ohm;
16.10.14;16.03.15;2015;extern;Bachelor;DE;Konzeption und Implementierung eines Softwaresystems zur Visualisierung und Analyse von Algorithmen in Graphen;
16.10.14;16.03.15;2015;extern;Bachelor;DE;Modellierung von Geschäftsprozessen in einer Standardnotation und prototypischer Import in ein IT-Service-Management-Tool;
16.10.14;13.03.15;2015;extern;Bachelor;DE;Erstellung und Konzeption einer flexiblen Datenschnittstelle zur Integration von Sensornetzen in das Internet of Things;
20.10.14;20.03.15;2015;extern;Bachelor;DE;Entwicklung eines Web-Portals zum zentralen Versand von institutsspezifischen Brief- und Vertragsdokumenten;
20.10.14;13.03.15;2015;extern;Bachelor;DE;Entwicklung eines arbeitsplangestützten Reportings zur Optimierung der KVP (Kontinuierlicher Verbesserungsprozess)- Arbeit;
22.10.14;13.03.15;2015;extern;Bachelor;DE;Mehrkernfähige Konfiguration von Telekommunikationseinrichtungen durch modellbasierte Abhängigkeiten;
23.10.14;16.03.15;2015;extern;Bachelor;DE;Möglichkeiten der Datenanalyse bei einem mittelständischen Softwarehersteller;
23.10.14;05.02.15;2015;extern;Bachelor;DE;Konzeption und prototypische Entwicklung eines wissensbasierten Systems zur Unterstützung der normierten Erfassung von Kunden-<br>Interaktionen am Service Desk des Produktbereichs der DATEV eG ;
24.10.14;16.03.15;2015;extern;Bachelor;DE;Auswahl und prototypische Implementierung einer Einsatzplanungssoftware für den Ausbildungsbereich der DATEV eG;
24.10.14;13.03.15;2015;extern;Bachelor;DE;Konzeption und prototypische Realisierung eines Werkzeugs für den länderübergreifenden Datentransfer zwischen Lohnabrechnungssystemen bei der DATEV eG;
27.10.14;26.03.15;2015;extern;Bachelor;DE;Einführung von Agilität;
01.11.14;16.03.15;2015;extern;Bachelor;DE;Implementierung einer intelligenten Walk-Away App. zur Steuerung von Laborgeräten mit SILA;
01.11.14;30.06.15;2015;extern;Master;DE;Kalibrierung von Panorama-Endoskopen;
03.11.14;01.04.15;2015;extern;Bachelor;DE;Konzeption und Realisierung des §21-Anzeigeprogramms getAEB mit Fokus auf die Entwicklung einer modularen Softwarearchitektur unter Verwendung geeigneter Patterns und Clean Code;
04.11.14;04.04.15;2015;extern;Bachelor;DE;Action Script zu Java Script Compiler ;
04.11.14;01.04.15;2015;extern;Bachelor;DE;Entwurf und Implementierung eines Projekt-Dashboards für ein Softwareunternehmen;
06.11.14;25.06.15;2015;extern;Master;DE;Evaluierung und Bewertung von Identity-Management-Architekturen in Hinblick auf Federated Identity-Management;
07.11.14;02.04.15;2015;extern;Bachelor;DE;Automatisiertes OnDemand-Provisioning von Testumgebungen in einer Private Cloud unter Einsatz von vCloud Automation Center;
10.11.14;30.01.15;2015;extern;Bachelor;DE;Analyse und Optimierung von Reports in einem Betrieb und Aufzeigen der Abbildungsmöglichkeiten in ein DWH;
10.11.14;10.04.15;2015;extern;Bachelor;DE;Prototypische Entwicklung eines Snapshoting-Tools zur Softwarequalitätssicherung ;
11.11.14;23.02.15;2015;extern;Bachelor;DE;"""Loss Prevention"" - Entwicklung von webbasierten Berichten zur Analyse von potentiellen Manipulationen im Retail-Sektor";
12.11.14;26.02.15;2015;extern;Bachelor;DE;Konzeption und prototypische Implementierung eines Performance Cockpits ;
13.11.14;07.04.15;2015;extern;Bachelor;DE;Implementierung eines Cross-Bilateralen-Filters für lichtfeldbasierte Tiefenkartendaten;
17.11.14;16.04.15;2015;extern;Bachelor;DE;Konzeption und Realisierung einer generischen Web-Benutzeroberfläche zur Planung von Arbeitsabläufen;
17.11.14;15.04.15;2015;extern;Bachelor;DE;Nutzung von Inter-Tag-Entfernungsmessung in der RTLS-basierten Ortung;
17.11.14;16.04.15;2015;extern;Bachelor;DE;Portierung und Schnittstellenkonzeption/-Implementierung einer Applikation zur Steuergerätediagnose;
20.11.14;12.03.15;2015;extern;Bachelor;DE;Unterstützung von logistischen Prozessen mit Hilfe von Smart Glasses<br>und Mustererkennung ;
24.11.14;01.02.15;2015;extern;Bachelor;DE;Business Intelligence in einem mittelständischen Unternehmen - Eine Fallstudie ;
24.11.14;;2015;extern;Bachelor;DE;Semantische Technologien im Wissensmanagement - Einsatzmöglichkeiten, Umsetzung in die Praxis und strategische Ausrichtung;
26.11.14;24.04.15;2015;extern;Bachelor;DE;Technische Entwicklung, Vorteile und Risiken des Cloud Computings aus unternehmerischem und technischem Blickpunkt.;
01.12.14;30.04.15;2015;extern;Bachelor;DE;"Konzeption und prototypische Entwicklung einer Klassenbibliothek für das Android-Betriebssystem für den Zugriff auf die Umfrage-Plattform ""Limesurvey""";
01.12.14;15.09.15;2015;extern;Master;DE;Konzeption, Design und Entwicklung einer nativen Adroid-App für mobile Endgeräte basierend auf der Umfrage-Plattform Limesurvey zur Anzeige von Antworten und Statistiken von Studiengangtests ;
09.12.14;09.08.15;2015;extern;Master;DE;Best Practice für die Integration einer toolgestützten Codeanalyse mit dem Fokus Wartbarkeit und Codequalität;
15.12.14;14.08.15;2015;extern;Master;DE;Portierung und Evaluation von Algorithmen zur WLAN-basierten Richtungs- und Positionsbestimmung;
16.12.14;14.08.15;2015;extern;Master;DE;Konzeption, Realisierung und Einführung der IT-gestützten Kommissionierung im Online-Modehandel;
17.12.14;15.05.15;2015;extern;Bachelor;DE;Analyse der techn. Aspekte an die Mehrsprachigkeit von IT-Applikationen zur Unterstützung von Geschäftsprozessen (Schwerpunkt PLM- und SCM-Prozesse) sowie Erarbeitung von Lösungskonzepten unter der Berücksichtigung von wirtschaftl. Einflussfaktoren;
17.12.14;17.05.15;2015;extern;Bachelor;DE;Prototypische Implementierung eines Space Colonization Algorithmus in einer 3D-Engine;
17.12.14;14.08.15;2015;extern;Master;DE;Optimierung von Modellen maschineller Lernverfahren im Rahmen eines Big Data Projektes zur Betrugsanzeigenerkennung;
18.12.14;13.03.15;2015;extern;Bachelor;DE;Agiles IT-Management;
18.12.14;18.05.15;2015;extern;Bachelor;DE;Konzeption einer Recommendation-Engine mittels ausgewählter Data-Mining Algorithmen;
22.12.14;02.04.15;2015;extern;Bachelor;DE;Fahrzeugflottensimulation als Dienst;
23.12.14;;2015;extern;Bachelor;DE;Einsatz von Data-Mining-Verfahren zur Entscheidungsunterstützung im BPM am Beispiel von Adaptive-Case-Management-Szenarium;
15.01.15;12.06.15;2015;extern;Bachelor;DE;Untersuchung der Dienstgüte von Audio-Streaming in Mobilfunknetzen bei Bitraten unter 32 kbps;
23.01.15;19.06.15;2015;extern;Bachelor;EN;Design and Development of a Web-Based Interface for a Mobile Digital Storytelling System;
03.02.15;02.07.15;2015;extern;Bachelor;DE;Konzeption und Entwicklung einer dynamisch erzeugten Konfigurationsoberfläche für Funk- und Ortungstechnologien bei Fraunhofer;
03.02.15;08.06.15;2015;extern;Bachelor;EN;Implementation of Pipes for the Ulix Operating System;
05.02.15;07.09.15;2015;extern;Master;DE;Entwicklung einer 3D-Multitouchoberfläche auf Basis des Fused Deposition Modeling 3D-Druckverfahrens;
05.02.15;09.09.15;2015;extern;Master;DE;Analyse und Optimierung des Incident Management Prozesses bei einem mittelständischen Unternehmen;
12.02.15;13.06.15;2015;extern;Bachelor;DE;Konzeption und Implementierung einer Report-Software zur Analyse des Nutzungsverhaltens von CAD-Software bei der Robert Bosch GmbH;
12.02.15;12.10.15;2015;extern;Master;DE;Konzepterstellung und prototypische Entwicklung für die Siemens interne Kommunikation im Kontext Enterprise Architecture Management in einer global agierenden Abteilung;
18.02.15;18.08.15;2015;extern;Master;DE;Schutz kompilierter Binärpakete vor Dekompilierung und Manipulation;
26.02.15;23.10.15;2015;extern;Master;DE;Automatisiertes Testen von mobilen Applikationen;
01.03.15;01.08.15;2015;extern;Bachelor;DE;Konzeptionierung und Realisierung eines Konfigurations-Tools für die Echtzeit-Middleware Gamma V;
01.03.15;22.07.15;2015;extern;Bachelor;DE;Service Design und Service Transition in der IV-Abteilung am Klinikum Nürnberg;
02.03.15;30.07.15;2015;extern;Bachelor;DE;Konzeption und prototypische Realisierung einer graphischen, workflowbasierten Steuerungs- und Überwachungsanwendung für ein Datenübermittlungssystem.;
05.03.15;05.08.15;2015;extern;Bachelor;DE;Big Data Analysen in der Cloud;
12.03.15;28.09.15;2015;extern;Master;DE;Konzeption und Implementierung eines Reputationssystems für ein soziales Netzwerk im Umfeld der Lehre;
12.03.15;11.08.15;2015;extern;Bachelor;DE;Konzeption und prototypische Implementierung einer challengebasierten Bucketlist;
15.03.15;15.08.15;2015;extern;Bachelor;DE;Plattformunabhängige Softwareentwicklung für mobile Endgeräte;
15.03.15;14.08.15;2015;extern;Bachelor;DE;Evaluierung und Bewertung von Methoden des Information Retrievals   zur Berechnung von Code Metriken am Beispiel vom Quellcode der DATEV;
16.03.15;17.08.15;2015;extern;Bachelor;DE;Implementierung eines Verfahrens zur Nachbearbeitung von zusammengesetzten Projektionen in der industriellen röntgen Radioskopie;
17.03.15;17.08.15;2015;extern;Bachelor;DE;Entwicklung einer prototypischen Tastatur für eine runde Smartwatsch auf Basis von Android Wear;
17.03.15;17.08.15;2015;extern;Bachelor;DE;Verschiedene Wege der Integration von MongoDB in Liferay Applikationen;
18.03.15;20.08.15;2015;extern;Bachelor;DE;Mittel zur Verbesserung der Umgangsformen in sozialen Netzwerken mit Fokus auf Methoden der Gamification;
23.03.15;23.11.15;2015;extern;Master;DE;Industrie4.0:Agentenbasierte Modellierung industrieller Fertigungsnetze;
24.03.15;18.08.15;2015;extern;Bachelor;DE;Konzeption und prototypische Implementierung zur Erneuerung des Kassensystems einer ERP-Software;
25.03.15;14.08.15;2015;extern;Bachelor;DE;Analyse und Verbesserung von Usability und Design bei ERP-Systemen anhand der Software v. Soft der Firma GmbH & Co. KG;
26.03.15;;2015;extern;Bachelor;DE;"Verhaltensanalyse von ""Parallelität in Parallelität""";
26.03.15;20.11.15;2015;extern;Master;DE;Entwicklung eines sicheren Session- und Access-Managements für eine verteilte Anwendung;
